date,site,mean_daily_temp_c,max_daily_temp_c,min_daily_temp_c,daily_temp_c_range,two_week_temp_rollavg,season
2022-06-13T00:00:00Z,S3_terra,10.662916666666668,17.665,4.207222222222223,13.457777777777777,15.014662698412701,fall
2022-06-13T00:00:00Z,S3_agua,8.31175925925926,13.365000000000002,3.2611111111111097,10.103888888888893,13.894041005291006,fall
2022-06-14T00:00:00Z,S3_terra,10.13013888888889,13.07611111111111,6.775,6.30111111111111,14.57855158730159,fall
2022-06-14T00:00:00Z,S3_agua,10.529629629629628,13.55777777777778,6.1661111111111095,7.39166666666667,13.51594576719577,fall
2022-06-15T00:00:00Z,S3_terra,13.593472222222223,20.901111111111113,8.77888888888889,12.122222222222224,14.352460317460318,fall
2022-06-15T00:00:00Z,S3_agua,11.16101851851852,15.56888888888889,7.481111111111112,8.087777777777779,13.141031746031747,fall
2022-06-16T00:00:00Z,S3_terra,12.922361111111112,23.19611111111111,3.892777777777777,19.303333333333335,14.042569444444448,fall
2022-06-16T00:00:00Z,S3_agua,9.2155555555555555,15.855000000000002,3.2611111111111097,12.593888888888893,12.732003968253968,fall
2022-06-17T00:00:00Z,S3_terra,13.852500000000001,24.931111111111115,4.8311111111111105,20.100000000000005,14.01919642857143,fall
2022-06-17T00:00:00Z,S3_agua,10.554907407407407,19.092222222222222,4.102222222222222,14.99,12.471937830687834,fall
2022-06-18T00:00:00Z,S3_terra,14.903472222222222,18.996111111111112,9.965,9.031111111111112,14.07762896825397,fall
2022-06-18T00:00:00Z,S3_agua,14.592500000000001,17.093888888888888,12.882777777777779,4.211111111111109,12.533333333333335,fall
2022-06-19T00:00:00Z,S3_terra,13.00375,13.365000000000002,12.69,0.6750000000000025,13.951825396825399,fall
2022-06-19T00:00:00Z,S3_agua,12.75425925925926,13.172777777777778,11.91611111111111,1.2566666666666677,12.481990740740743,fall
2022-06-20T00:00:00Z,S3_terra,13.219722222222222,16.807777777777776,9.077222222222222,7.730555555555554,13.7765376984127,winter
2022-06-20T00:00:00Z,S3_agua,12.39787037037037,16.237222222222222,8.680000000000001,7.5572222222222205,12.470132275132276,winter
2022-06-21T00:00:00Z,S3_terra,14.39402777777778,20.23388888888889,7.782222222222224,12.451666666666668,13.684394841269844,winter
2022-06-21T00:00:00Z,S3_agua,12.134907407407407,18.616111111111113,7.078888888888888,11.537222222222226,12.3659126984127,winter
2022-06-22T00:00:00Z,S3_terra,15.492638888888889,21.37777777777778,10.552777777777777,10.825000000000003,13.670674603174605,winter
2022-06-22T00:00:00Z,S3_agua,12.6425,18.616111111111113,8.48111111111111,10.135000000000003,12.192328042328045,winter
2022-06-23T00:00:00Z,S3_terra,15.072083333333335,22.046111111111117,8.680000000000001,13.366111111111115,13.607966269841272,winter
2022-06-23T00:00:00Z,S3_agua,12.061481481481483,17.76,7.782222222222224,9.977777777777778,11.927070105820107,winter
2022-06-24T00:00:00Z,S3_terra,13.729722222222223,20.996111111111116,6.6738888888888885,14.322222222222226,13.401805555555557,winter
2022-06-24T00:00:00Z,S3_agua,11.075555555555557,17.28388888888889,5.860000000000001,11.423888888888888,11.59258597883598,winter
2022-06-25T00:00:00Z,S3_terra,12.914166666666668,20.23388888888889,6.572777777777779,13.661111111111111,13.342132936507937,winter
2022-06-25T00:00:00Z,S3_agua,11.930555555555557,16.332222222222224,5.7572222222222225,10.575000000000003,11.485582010582013,winter
2022-06-26T00:00:00Z,S3_terra,13.628472222222223,14.612777777777778,12.787222222222224,1.8255555555555532,13.394246031746034,winter
2022-06-26T00:00:00Z,S3_agua,13.043055555555556,13.75,11.91611111111111,1.8338888888888896,11.600396825396828,winter
2022-06-27T00:00:00Z,S3_terra,12.398750000000001,13.365000000000002,11.431111111111113,1.9338888888888892,13.518234126984128,winter
2022-06-27T00:00:00Z,S3_agua,12.431296296296296,13.46111111111111,11.333888888888891,2.127222222222219,11.894649470899472,winter
2022-06-28T00:00:00Z,S3_terra,14.345,18.80611111111111,9.275,9.53111111111111,13.819295634920637,winter
2022-06-28T00:00:00Z,S3_agua,12.348981481481482,17.093888888888888,8.48111111111111,8.612777777777778,12.024603174603175,winter
